66
1,775,1,1
2,776,1,1
3,777,1,1
4,778,1,1
5,779,1,1
6,780,1,1
7,781,1,1
8,782,1,1
9,783,1,1
10,784,1,1
11,785,1,1
12,786,1,1
13,787,1,1
14,26,1,1
27,39,1,1
40,52,1,1
53,65,1,1
66,78,1,1
79,91,1,1
92,104,1,1
105,117,1,1
118,130,1,1
131,143,1,1
144,156,1,1
157,169,1,1
192,200,1,1
201,209,1,1
232,244,1,1
245,257,1,1
258,270,1,1
271,283,1,1
284,296,1,1
297,309,1,1
310,322,1,1
323,335,1,1
336,348,1,1
349,361,1,1
362,374,1,1
375,387,1,1
388,400,1,1
401,413,1,1
414,426,1,1
427,439,1,1
440,452,1,1
453,465,1,1
466,478,1,1
479,491,1,1
492,504,1,1
505,517,1,1
518,530,1,1
531,543,1,1
544,556,1,1
579,587,1,1
588,596,1,1
619,631,1,1
632,644,1,1
645,657,1,1
658,670,1,1
671,683,1,1
684,696,1,1
697,709,1,1
710,722,1,1
723,735,1,1
736,748,1,1
749,761,1,1
762,774,1,1
