 f_left,f_right
         0.118089549438300D+05,        -0.233600258995129D+05
         0.236179098876600D+05,        -0.467200517990259D+05
         0.354268648314901D+05,        -0.700800776985389D+05
         0.472358197753201D+05,        -0.934401035980518D+05
         0.590447747191501D+05,        -0.116800129497565D+06
         0.708537296629803D+05,        -0.140160155397078D+06
         0.826626846068101D+05,        -0.163520181296592D+06
        -0.210835557561599D+07,        -0.182644516935619D+07
