       4628396.527797278948128,       6058415.631729204207659,       6127372.832889610901475,       5260864.682610800489783,       4172548.156851352192461,       3090744.187722454313189
       7185742.041186116635799,       6555251.885075702331960,       5945809.971560087986290,       4955846.586255618371069,       3956959.812945829704404,       2993592.311372336465865
       9418858.442526753991842,       7102918.069098621606827,       5673241.949705928564072,       4633653.159485017880797,       3839470.187115125823766,       2877552.237194905057549
      10814175.140993790701032,       7474356.344870329834521,       5685539.304808028973639,       4685397.922553117386997,       3830498.742602971848100,       2591109.102638032287359
      10687351.368018157780170,       7794029.556391837075353,       6286650.519401094876230,       5418723.285881798714399,       4524188.352497830986977,       3030159.617653388995677
       9004017.518503500148654,       7565400.422346276231110,       6985255.590878492221236,       6586265.508813019841909,       6129842.779285562224686,       5467573.949724756181240
       6562960.869087751954794,       6653279.915686039254069,       6860421.332416955381632,       6985958.273893742822111,       7187271.424075436778367,       7944080.076838071458042
       4018044.739792248234153,       5232064.273557028733194,       5945780.361801064573228,       6477176.252800930291414,       7438487.632927726022899,       9745640.085186384618282
       3366435.916148500051349,       4440245.676391676068306,       5125082.482405741699040,       5834484.531861562281847,       7151769.750800801441073,       9930077.414909316226840
       3660956.611216027755290,       4283184.265979493036866,       5006815.115215383470058,       5681962.900854792445898,       6590542.503882474265993,       8537183.752596048638225
       3833092.072086902335286,       4452166.604096138849854,       5100563.318008164875209,       5615770.396835214458406,       5875581.848121842369437,       6435626.070865716785192
       3009107.966910855378956,       3849048.175223720259964,       4541077.624793804250658,       5123942.491629153490067,       5433583.333674953319132,       5104410.439526821486652
