 f_left,f_right
         0.118692670112293D+05,        -0.234203378242472D+05
         0.237385340224585D+05,        -0.468406756484945D+05
         0.356078010336878D+05,        -0.702610134727402D+05
         0.474770680449171D+05,        -0.936813512969889D+05
         0.593463350561462D+05,        -0.117101689121231D+06
         0.712156020673756D+05,        -0.140522026945480D+06
         0.830290915551475D+05,        -0.163817202570815D+06
        -0.128577368558646D+07,         0.716540628547086D+07
